"customer_id","age_at_campaign","education","marital_status","income","dependents","customer_since","recency_days","wine_spend","fruit_spend","meat_spend","fish_spend","sweets_spend","gold_spend","total_spend","deals_purchases","web_purchases","catalog_purchases","store_purchases","total_purchases","web_visits_month","accepted_campaigns_total","previous_campaign_accepted","preferred_category","preferred_channel","historical_response","intent_segment","marketing_segment","baseline_lead_score","purchase_likelihood","suggested_action"
"5524","57","Graduation","Single","58138","0","2012-09-04","58","635","88","546","172","88","88","1617","3","8","10","4","25","7","0","No","Wine","Catalog","1","Medium Intent","High Value Customer","62","Medium","Nurture email with category-specific content and social proof"
"2174","60","Graduation","Single","46344","2","2014-03-08","38","11","1","6","2","1","6","27","2","1","1","2","6","5","0","No","Wine","Store","0","Low Intent","Standard Nurture","28","Low","Low-frequency awareness campaign with educational content"
"4141","49","Graduation","Together","71613","0","2013-08-21","26","426","49","127","111","21","42","776","1","8","2","10","21","4","0","No","Wine","Store","0","Medium Intent","Standard Nurture","60","Medium","Nurture email with category-specific content and social proof"
"6182","30","Graduation","Together","26646","1","2014-02-10","26","11","4","20","10","3","5","53","2","2","0","4","8","6","0","No","Meat","Store","0","Low Intent","Standard Nurture","29","Low","Low-frequency awareness campaign with educational content"
"5324","33","PhD","Married","58293","1","2014-01-19","94","173","43","118","46","27","15","422","5","5","3","6","19","5","0","No","Wine","Store","0","Low Intent","Digitally Engaged","36","Low","Low-frequency awareness campaign with educational content"
"7446","47","Master","Together","62513","1","2013-09-09","16","520","42","98","0","42","14","716","2","6","4","10","22","6","0","No","Wine","Store","0","Medium Intent","Digitally Engaged","59","Medium","Nurture email with category-specific content and social proof"
"965","43","Graduation","Divorced","55635","1","2012-11-13","34","235","65","164","50","49","27","590","4","7","3","7","21","6","0","No","Wine","Web","0","Medium Intent","Digitally Engaged","51","Medium","Nurture email with category-specific content and social proof"
"6177","29","PhD","Married","33454","1","2013-05-08","32","76","10","56","3","1","23","169","2","4","0","4","10","8","0","No","Wine","Web","0","Low Intent","Standard Nurture","33","Low","Low-frequency awareness campaign with educational content"
"4855","40","PhD","Together","30351","1","2013-06-06","19","14","0","24","3","3","2","46","1","3","0","2","6","9","0","No","Meat","Web","1","Low Intent","Standard Nurture","29","Low","Low-frequency awareness campaign with educational content"
"5899","64","PhD","Together","5648","2","2014-03-13","68","28","0","6","1","1","13","49","1","1","0","0","2","20","1","Yes","Wine","Web","0","Low Intent","Standard Nurture","14","Low","Low-frequency awareness campaign with educational content"
"387","38","Basic","Married","7500","0","2012-11-13","59","6","16","11","11","1","16","61","1","2","0","3","6","8","0","No","Fruit","Store","0","Low Intent","Standard Nurture","15","Low","Low-frequency awareness campaign with educational content"
"2125","55","Graduation","Divorced","63033","0","2013-11-15","82","194","61","480","225","112","30","1102","1","3","4","8","16","2","0","No","Meat","Store","0","Medium Intent","Dormant Customer","49","Medium","Nurture email with category-specific content and social proof"
