"customer_id","age_at_campaign","education","marital_status","income","dependents","recency_days","total_spend","total_purchases","web_purchases","catalog_purchases","store_purchases","web_visits_month","accepted_campaigns_total","previous_campaign_accepted","preferred_category","preferred_channel","intent_segment","marketing_segment","baseline_lead_score","purchase_likelihood","suggested_action","historical_response"
"10133","44","Graduation","Single","93790","0","16","2349","25","6","7","12","2","3","Yes","Wine","Store","High Intent","High Value Customer","95","High","Sales outreach with a premium personalized offer","1"
"1772","39","PhD","Married","79174","0","2","2043","19","5","6","7","2","2","Yes","Wine","Store","High Intent","High Value Customer","92","High","Sales outreach with a premium personalized offer","1"
"10909","66","Graduation","Married","92344","0","9","1899","20","5","10","5","1","2","Yes","Wine","Catalog","High Intent","High Value Customer","92","High","Sales outreach with a premium personalized offer","0"
"7627","39","Master","Married","92163","0","25","2086","21","5","11","5","2","2","Yes","Wine","Catalog","High Intent","High Value Customer","91","High","Sales outreach with a premium personalized offer","1"
"8362","32","PhD","Married","84169","0","9","1919","20","7","6","6","3","2","Yes","Wine","Web","High Intent","High Value Customer","91","High","Sales outreach with a premium personalized offer","1"
"569","23","Graduation","Single","90273","0","32","1991","19","5","6","7","2","3","Yes","Meat","Store","High Intent","High Value Customer","91","High","Sales outreach with a premium personalized offer","1"
"5547","32","PhD","Married","84169","0","9","1919","20","7","6","6","3","2","Yes","Wine","Web","High Intent","High Value Customer","91","High","Sales outreach with a premium personalized offer","1"
"477","28","Graduation","Married","83512","0","31","2157","22","4","7","10","1","4","Yes","Wine","Store","High Intent","High Value Customer","90","High","Sales outreach with a premium personalized offer","1"
"2186","37","Second Cycle","Together","82326","0","30","2257","22","5","10","6","2","3","Yes","Wine","Catalog","High Intent","High Value Customer","90","High","Sales outreach with a premium personalized offer","1"
"3334","63","Graduation","Married","94642","0","35","2211","21","5","7","9","1","2","Yes","Wine","Store","High Intent","High Value Customer","90","High","Sales outreach with a premium personalized offer","0"
"7849","44","PhD","Married","80336","0","12","1052","25","2","9","13","1","0","No","Meat","Store","Medium Intent","High Value Customer","69","Medium","Nurture email with category-specific content and social proof","0"
"5831","47","Graduation","Married","77870","1","93","1815","18","5","5","5","8","2","Yes","Wine","Catalog","Medium Intent","High Value Customer","69","Medium","Nurture email with category-specific content and social proof","1"
"1631","49","PhD","Together","65220","0","3","1282","23","8","4","7","6","0","No","Wine","Web","Medium Intent","High Value Customer","69","Medium","Nurture email with category-specific content and social proof","1"
"7348","56","PhD","Single","71691","0","0","1192","17","4","7","5","2","0","No","Meat","Catalog","Medium Intent","High Value Customer","69","Medium","Nurture email with category-specific content and social proof","1"
"4767","49","Second Cycle","Married","70924","0","41","1363","20","6","6","7","3","1","Yes","Wine","Store","Medium Intent","High Value Customer","69","Medium","Nurture email with category-specific content and social proof","0"
"7734","21","Graduation","Other","79244","0","58","1216","22","4","10","7","1","2","Yes","Wine","Catalog","Medium Intent","High Value Customer","69","Medium","Nurture email with category-specific content and social proof","1"
"5989","55","Second Cycle","Divorced","78353","1","51","1576","24","10","2","11","8","0","No","Wine","Store","Medium Intent","High Value Customer","69","Medium","Nurture email with category-specific content and social proof","0"
"9504","65","Master","Married","81698","0","4","1008","25","3","8","13","1","0","No","Meat","Store","Medium Intent","High Value Customer","69","Medium","Nurture email with category-specific content and social proof","1"
"9499","60","Graduation","Married","93404","3","97","1616","17","3","4","7","5","2","Yes","Wine","Store","Medium Intent","High Value Customer","69","Medium","Nurture email with category-specific content and social proof","0"
"4943","61","Graduation","Married","70503","0","73","1727","16","2","4","9","6","2","Yes","Wine","Store","Medium Intent","High Value Customer","69","Medium","Nurture email with category-specific content and social proof","0"
"7494","64","PhD","Divorced","42873","2","11","269","15","6","1","4","8","0","No","Wine","Web","Low Intent","Digitally Engaged","44","Low","Low-frequency awareness campaign with educational content","0"
"975","58","Graduation","Single","54252","2","25","264","15","4","1","5","6","0","No","Wine","Store","Low Intent","Discount Sensitive","44","Low","Low-frequency awareness campaign with educational content","0"
"6818","40","Graduation","Married","44989","1","26","369","16","5","1","5","6","0","No","Gold","Web","Low Intent","Digitally Engaged","44","Low","Low-frequency awareness campaign with educational content","0"
"5057","53","Master","Married","61794","1","74","611","20","4","4","10","2","0","No","Wine","Store","Low Intent","Standard Nurture","44","Low","Low-frequency awareness campaign with educational content","0"
"9940","56","Graduation","Together","64961","1","97","1009","16","6","4","4","3","0","No","Wine","Web","Low Intent","Dormant Customer","44","Low","Low-frequency awareness campaign with educational content","0"
"4168","48","Graduation","Single","37070","2","30","433","23","5","1","8","7","0","No","Wine","Store","Low Intent","Digitally Engaged","44","Low","Low-frequency awareness campaign with educational content","1"
"1406","39","Graduation","Single","53201","2","49","415","22","6","3","5","7","0","No","Wine","Web","Low Intent","Digitally Engaged","44","Low","Low-frequency awareness campaign with educational content","0"
"2613","54","Master","Married","54197","1","16","237","12","1","3","6","1","0","No","Wine","Store","Low Intent","Standard Nurture","44","Low","Low-frequency awareness campaign with educational content","0"
"195","42","Graduation","Single","38808","1","21","246","14","5","1","4","8","1","Yes","Wine","Web","Low Intent","Digitally Engaged","44","Low","Low-frequency awareness campaign with educational content","1"
"907","39","Graduation","Married","46149","1","36","362","18","5","1","7","5","0","No","Wine","Store","Low Intent","Digitally Engaged","44","Low","Low-frequency awareness campaign with educational content","0"
